Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/01/12,19041.746,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2022/02/15,19041.1526,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2022/04/19,19042.1645,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/04/13,19041.928,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/03/09,19041.867,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/07/13,19041.1110,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/11/09,19041.1348,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2020/12/08,19041.685,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/09/14,19041.1237,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
1,0,Information,Microsoft-Windows-BackgroundTaskInfrastructure/Diagnostic,BackgroundTask,Start,BackgroundTask LowOverheadDiag,Windows 10,20H2,Pro,2021/12/14,19041.1415,An instance of a background task with entry point {TaskEntryPoint} and name {TaskName} has been created in session {SessionId} and given an ID of {InstanceId}.,{TaskEntryPoint} | {TaskName} | {SessionId} | {InstanceId}
