Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2021/04/13,19041.928,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2021/04/13,19041.928,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2021/03/09,19041.867,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2021/03/09,19041.867,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2021/02/09,19041.804,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2021/02/09,19041.804,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2021/01/12,19041.746,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2021/01/12,19041.746,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/12/08,19041.685,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2020/12/08,19041.685,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2020/11/19,19041.631,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/11/10,19041.63,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/10/13,19041.572,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/09/08,19041.508,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/08/11,19041.45,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/07/14,19041.388,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/06/09,19041.329,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/05/27,19041.264,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,2004,Pro,2020/04/16,19041.208,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H1,Pro,2022/03/15,19041.1586,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H2,Pro,2022/03/15,19041.1586,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2022/03/15,19041.1586,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H1,Pro,2022/02/15,19041.1526,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,21H2,Pro,2022/02/15,19041.1526,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 10,20H2,Pro,2022/02/15,19041.1526,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
