Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/05/12,17763.1217,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/06/09,17763.1282,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/07/14,17763.1339,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/08/11,17763.1397,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1809,Pro,2020/09/08,17763.1457,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
