Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2022/02/15,19041.1526,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/12/14,19041.1415,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/11/09,19041.1348,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/11/09,19041.1348,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/10/12,19041.1288,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/10/12,19041.1288,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/09/14,19041.1237,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/09/14,19041.1237,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/08/10,19041.1165,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/08/10,19041.1165,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/07/13,19041.111,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/07/13,19041.111,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,2004,Pro,2021/06/08,19041.1052,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2021/06/08,19041.1052,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/07/14,18363.959,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/06/09,18363.9,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/05/12,18363.836,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/04/14,18363.778,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/03/12,18363.72,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/02/11,18363.657,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/01/14,18363.592,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2019/12/10,18363.535,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2019/10/05,18363.418,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2021/06/08,18363.1621,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2021/05/11,18363.1556,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2021/04/13,18363.15,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2021/03/09,18363.144,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2021/02/11,18363.1379,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2021/01/12,18363.1316,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/12/08,18363.1256,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/11/10,18363.1198,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/10/13,18363.1139,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,1909,Pro,2020/09/08,18363.1082,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
