Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/12/20,19043.2364,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/10/18,19043.213,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
