Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
1101,0,Error,Microsoft-Windows-Hyper-V-VID-Analytic,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Failed to reserve {Parameter1} pages: {Parameter2}. (Partition ID {Parameter0}),{Parameter1} | {Parameter2} | {Parameter0}
