Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,System,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/07/13,19041.111,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/07/14,18363.959,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/06/09,18363.9,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/05/12,18363.836,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/04/14,18363.778,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/03/12,18363.72,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/02/11,18363.657,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2020/01/14,18363.592,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2019/12/10,18363.535,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,1909,Pro,2019/10/05,18363.418,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
