Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/06/08,19041.1052,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/07/14,18363.959,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/06/09,18363.9,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/05/12,18363.836,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/04/14,18363.778,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/03/12,18363.72,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/02/11,18363.657,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2020/01/14,18363.592,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2019/12/10,18363.535,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2019/10/05,18363.418,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,1909,Pro,2021/06/08,18363.1621,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
