Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
