Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/07/13,19043.111,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2021/05/11,19041.985,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2021/05/11,19041.985,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2021/04/13,19041.928,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2021/04/13,19041.928,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2021/03/09,19041.867,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2021/03/09,19041.867,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2021/02/09,19041.804,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2021/02/09,19041.804,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2021/01/12,19041.746,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2021/01/12,19041.746,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2020/12/08,19041.685,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2020/12/08,19041.685,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,20H2,Pro,2020/11/19,19041.631,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2020/11/10,19041.63,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,2004,Pro,2020/10/13,19041.572,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
