Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
