Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2021/02/09,19041.804,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2021/01/12,19041.746,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/12/08,19041.685,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/11/10,19041.63,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/10/13,19041.572,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/09/08,19041.508,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/08/11,19041.45,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/07/14,19041.388,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/06/09,19041.329,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/05/27,19041.264,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,2004,Pro,2020/04/16,19041.208,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
