Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H2,Pro,2021/10/12,19044.1288,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2021/04/13,19043.928,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2022/09/21,19043.2006,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2022/08/16,19043.1889,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 11,21H1,Pro,2022/07/19,19043.1826,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2022/06/21,19043.1766,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2022/05/17,19043.1706,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2022/04/19,19043.1645,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2022/01/11,19043.1466,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2021/12/14,19043.1415,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H2,Pro,2021/12/14,19043.1415,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2021/11/09,19043.1348,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows 10,21H1,Pro,2021/10/12,19043.1288,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
