Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2021/01/12,19041.746,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/12/08,19041.685,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2020/12/08,19041.685,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,20H2,Pro,2020/11/19,19041.631,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/11/10,19041.63,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/10/13,19041.572,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/09/08,19041.508,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/08/11,19041.45,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/07/14,19041.388,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,2004,Pro,2020/06/09,19041.329,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
