Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2021/02/09,19041.804,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2021/01/12,19041.746,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/12/08,19041.685,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/11/10,19041.63,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/10/13,19041.572,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/09/08,19041.508,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/08/11,19041.45,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/07/14,19041.388,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/06/09,19041.329,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/05/27,19041.264,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2020/04/16,19041.208,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
