Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2018/12/11,17763.194,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/01/08,17763.253,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2019/02/12,17763.316,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2019/03/12,17763.379,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2019/04/09,17763.437,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2019/05/19,17763.504,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
