Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Error,Debug,,,Debug,Windows 10,2004,Pro,2020/08/11,19041.45,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,2004,Pro,2020/07/14,19041.388,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,2004,Pro,2020/06/09,19041.329,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,2004,Pro,2020/05/27,19041.264,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,2004,Pro,2020/04/16,19041.208,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2022/03/15,19041.1586,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H1,Pro,2022/03/15,19041.1586,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,20H2,Pro,2022/03/15,19041.1586,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2022/02/15,19041.1526,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H1,Pro,2022/02/15,19041.1526,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
