Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2018/12/11,17763.194,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/11/10,17763.1577,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/10/13,17763.1518,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/09/08,17763.1457,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/08/11,17763.1397,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/07/14,17763.1339,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/06/09,17763.1282,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/05/12,17763.1217,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/04/14,17763.1158,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/03/12,17763.1098,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2018/11/13,17763.107,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,1809,Pro,2020/02/11,17763.1039,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,{process}: {payload},{process} | {payload}
2,0,Error,OpenSSH/Admin,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,{process}: {payload},{process} | {payload}
