Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2022/02/15,19041.1526,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,21H2,Pro,2022/02/15,19041.1526,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/12/14,19041.1415,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,2004,Pro,2021/11/09,19041.1348,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/11/09,19041.1348,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,2004,Pro,2021/10/12,19041.1288,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/10/12,19041.1288,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,2004,Pro,2021/09/14,19041.1237,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/09/14,19041.1237,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,2004,Pro,2021/08/10,19041.1165,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/08/10,19041.1165,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,2004,Pro,2021/07/13,19041.111,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/07/13,19041.111,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,2004,Pro,2021/06/08,19041.1052,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,20H2,Pro,2021/06/08,19041.1052,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/07/14,18363.959,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 10,1909,Pro,2020/06/09,18363.9,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
