Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2021/03/09,19041.867,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2021/03/09,19041.867,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2021/02/09,19041.804,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2021/02/09,19041.804,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2021/01/12,19041.746,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2021/01/12,19041.746,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2020/12/08,19041.685,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2020/12/08,19041.685,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,20H2,Pro,2020/11/19,19041.631,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 10,2004,Pro,2020/11/10,19041.63,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
