Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/05/19,17763.504,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/06/11,17763.557,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/07/09,17763.615,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2019/08/13,17763.678,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/08/13,17763.678,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2019/09/10,17763.737,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/09/10,17763.737,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/10/08,17763.805,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2019/11/12,17763.864,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/11/12,17763.864,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2019/12/10,17763.914,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2019/12/10,17763.914,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/01/14,17763.973,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/01/14,17763.973,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/12/10,18362.1016,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2020/09/08,18362.1082,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2020/10/13,18362.1139,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2020/11/10,18362.1198,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2020/12/08,18362.1256,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/06/11,18362.175,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/07/09,18362.239,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/03/29,18362.3,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/09/10,18362.356,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/11/12,18362.476,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2019/12/10,18362.535,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2020/02/11,18362.657,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1903,Pro,2020/03/12,18362.72,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
