Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,22H2,Pro,2023/03/21,19045.2728,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,22H2,Pro,2023/02/21,19045.2604,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,21H2,Pro,2023/03/21,19044.2728,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
