Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/07/14,19041.388,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/06/09,19041.329,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/05/27,19041.264,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2020/04/16,19041.208,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2022/03/15,19041.1586,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2022/03/15,19041.1586,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H2,Pro,2022/03/15,19041.1586,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2022/02/15,19041.1526,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2022/02/15,19041.1526,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H2,Pro,2022/02/15,19041.1526,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/12/14,19041.1415,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/11/09,19041.1348,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/11/09,19041.1348,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/10/12,19041.1288,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
