Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2021/05/11,19041.985,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2021/05/11,19041.985,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2021/04/13,19041.928,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2021/04/13,19041.928,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2021/03/09,19041.867,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2021/03/09,19041.867,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2021/02/09,19041.804,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2021/02/09,19041.804,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2021/01/12,19041.746,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2021/01/12,19041.746,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2020/12/08,19041.685,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2020/12/08,19041.685,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,20H2,Pro,2020/11/19,19041.631,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,2004,Pro,2020/11/10,19041.63,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
