Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/04/19,19044.1645,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2022/01/11,19044.1466,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H2,Pro,2021/10/12,19044.1288,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2021/04/13,19043.928,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/10/18,19043.213,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/09/20,19043.2006,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/08/16,19043.1889,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/07/19,19043.1826,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/06/21,19043.1766,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows 10,21H1,Pro,2022/05/17,19043.1706,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
