Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/04/19,19043.1645,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2022/01/11,19043.1466,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/12/14,19043.1415,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2021/12/14,19043.1415,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/11/09,19043.1348,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/10/12,19043.1288,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/09/14,19043.1237,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/08/10,19043.1165,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/07/13,19043.111,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H1,Pro,2021/06/08,19043.1052,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,20H2,Pro,2022/04/19,19042.1645,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
