Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
100,0,Error,Microsoft-Windows-Remotefs-Rdbss/Diagnostic,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,RDBSS Name Canonicalize Error: {ErrorCode} Location: {Location} Context: {Context},{ErrorCode} | {Location} | {Context}
