Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/07/14,18362.959,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/05/12,18362.836,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/03/12,18362.72,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2020/02/11,18362.657,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/12/10,18362.535,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/11/12,18362.476,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/09/10,18362.356,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/03/29,18362.3,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/07/09,18362.239,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
100,0,Information,Analytic,Driver Performance,Start,,Windows 10,1903,Pro,2019/06/11,18362.175,WPD device installation function ({InstallFunctionCode}; {InstallFunctionName}) begin.,{InstallFunctionCode} | {InstallFunctionName}
