Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/04/13,19043.928,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/10/18,19043.213,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/07/13,19043.111,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
100,0,Verbose,MS Video Processor MFT (D3D11),MS Video Processoft MFT (D3D11) - Create Video Processor,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,CreateVideoProcessor Device {VideoDevice}; VP {VP} ; Rate Conversion Index {RateConversionIndex}; PastFrames {PastFrames},{VideoDevice} | {VP} | {RateConversionIndex} | {PastFrames}
