Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/09/14,19043.1237,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/08/10,19043.1165,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/07/13,19043.111,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,21H1,Pro,2021/06/08,19043.1052,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,20H2,Pro,2022/04/19,19042.1645,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,20H2,Pro,2022/01/11,19042.1466,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,20H2,Pro,2021/05/11,19041.985,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,2004,Pro,2021/05/11,19041.985,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,20H2,Pro,2021/04/13,19041.928,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,2004,Pro,2021/04/13,19041.928,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,20H2,Pro,2021/03/09,19041.867,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,2004,Pro,2021/03/09,19041.867,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,20H2,Pro,2021/02/09,19041.804,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
1,0,Error,Microsoft-Windows-Crypto-NCrypt/Operational,Operation Failure,,NCrypt Operation,Windows 10,2004,Pro,2021/02/09,19041.804,Cryptographic Operation failed. Cryptographic Parameters: 	OperationType:	{OperationType} 	Provider Name:	{ProviderName} 	Key Name:	{KeyName} 	Key Type:	{KeyType} 	Algorithm Name:	{AlgorithmName} Failure Information: 	Return Code:	{Status},{OperationType} | {ProviderName} | {KeyName} | {KeyType} | {AlgorithmName} | {Status}
