Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/12/20,19043.2364,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/10/18,19043.213,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
1,0,Verbose,DVD Navigator,Nav SendSample,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Nav SendSample Object={Object} treamID={Object} StreamType={StreamID} IsRunning={StreamType} rtTimestamp={IsRunning} rtNow={rtTimestamp} rtAhead={rtNow} SyncPoint={SyncPoint} TimeDisc={TimeDisc},{Object} | {Object} | {StreamID} | {StreamType} | {IsRunning} | {rtTimestamp} | {rtNow} | {SyncPoint} | {TimeDisc}
