Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/09/20,19044.2006,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/08/16,19044.1889,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/07/19,19044.1826,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/06/21,19044.1766,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/05/17,19044.1706,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/04/19,19044.1645,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2022/01/11,19044.1466,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H2,Pro,2021/10/12,19044.1288,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2021/04/13,19043.928,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/12/20,19043.2364,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
1,0,Information,System,Application initiated device servicing/update task,Start,,Windows 10,21H1,Pro,2022/11/15,19043.2251,{Application} requested task {TriggerID} to service device {Device}.,{Application} | {TriggerID} | {Device}
