Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,22H2,Pro,2022/12/20,19045.2364,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,22H2,Pro,2022/11/15,19045.2251,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2023/02/21,19044.2604,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2023/01/17,19044.2486,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2022/12/20,19044.2364,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2022/11/15,19044.2251,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2022/10/18,19044.213,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2022/09/20,19044.2006,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2022/08/16,19044.1889,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
24832,0,Critical,System,WIM integrity verification,IntegrityFileOpen,,Windows 10,21H2,Pro,2022/07/19,19044.1826,The filter failed to open the integrity file for {FileNameBuffer} (data source {DataSourceId}) with status {Status}.,{FileNameBuffer} | {DataSourceId} | {Status}
