Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
16384,0,Information,,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
16384,0,Information,,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Create chunk container ({ChunkStoreType} - {ContainerId}.{Generation}.ccc),{ChunkStoreType} | {ContainerId} | {Generation}
