Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2019/02/12,17763.316,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1803,Pro,2019/01/08,17763.253,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2018/12/11,17763.194,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/11/10,17763.1577,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/10/13,17763.1518,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/09/08,17763.1457,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/08/11,17763.1397,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/07/14,17763.1339,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows 10,1809,Pro,2020/06/09,17763.1282,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
1,0,Error,Microsoft-Windows-Hyper-V-Guest-Drivers/Admin,,,,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,Failed to initialize the backup components metadata in preparation for backup; status {Status}.,{Status}
