Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/07/14,18362.959,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/05/12,18362.836,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/03/12,18362.72,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/02/11,18362.657,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/12/10,18362.535,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/11/12,18362.476,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/09/10,18362.356,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/03/29,18362.3,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/07/09,18362.239,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2019/06/11,18362.175,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/12/08,18362.1256,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/11/10,18362.1198,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/10/13,18362.1139,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
1,0,Information,Microsoft-Windows-StorageManagement/Debug,,,EnterExit,Windows 10,1903,Pro,2020/09/08,18362.1082,{Message}{FileName}({LineNumber}),{Message} | {FileName} | {LineNumber}
