Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2021/03/09,19041.867,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,20H2,Pro,2021/02/09,19041.804,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2021/02/09,19041.804,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,20H2,Pro,2021/01/12,19041.746,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2021/01/12,19041.746,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,20H2,Pro,2020/12/08,19041.685,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2020/12/08,19041.685,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,20H2,Pro,2020/11/19,19041.631,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2020/11/10,19041.63,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2020/10/13,19041.572,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2020/09/08,19041.508,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2020/08/11,19041.45,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
1000,0,Error,Microsoft-Windows-RemoteApp and Desktop Connections/Admin,Setup,,,Windows 10,2004,Pro,2020/07/14,19041.388,An error occurred. Contact your workplace administrator for assistance.Connection name: {Name}Connection URL: {FeedURL}Error code: {ErrorCode}; {ErrorCodeAdditional},{Name} | {FeedURL} | {ErrorCode} | {ErrorCodeAdditional}
